Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Kyrgyz Republic,KGZ,33283.18809,9973.9558,11464.2627,11873.2617,13218.8107777734,13008.5431032492,13853.6745152227,13794.7412448409,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Lao PDR,LAO,30128.598,24667.954,70977.957,21335.613,24469.6379259297,38034.9636272718,161456.982700603,161718.737448862,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Latvia,LVA,33667.7706,11507.8095,14416.1433,14204.6668,13580.3226,14670.0039,14150.0953121195,13943.921724239,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Lebanon,LBN,..,16825.6618,15102.0736,18270.36045,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Lesotho,LSO,1882.4258,3230.5765,4439.4282,2543.498,2727.98013422641,3425.27889786419,3449.40565110162,3472.70753642453,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Liberia,LBR,1752.526409,2076.31708,2847.6082,2863.1407,2599.79846235048,2758.54687127273,2797.37082211107,2833.94277850522,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Libya,LBY,61074.1542,63666.8898,71090.5683,74238.8201,73995.4159130736,77780.0897279971,80072.8192017551,82129.133946468,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Lithuania,LTU,54344.5327,21257.1305,25791.099,26732.648,24473.52047,26786.483,29324.6896732865,29442.2123465731,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Luxembourg,LUX,13101.9844,10268.3634,13072.4388,12702.3411,12343.3163024847,13034.8157583223,12929.5408156803,12610.9976195246,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Macedonia, FYR",MKD,14328.5064,..,12465.444,11742.8238,11639.367239289,12257.5435281439,12645.7140398317,12992.2469938559,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Madagascar,MDG,48353.24978,84187.244,134284.869,94468.136,117984.460835901,117231.040631623,117586.217732155,117932.597060147,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Malawi,MWI,8537.0945,15450.3876,17520.1761,17735.299,15595.8303564547,21415.5371809398,21525.7616594699,21632.1320932947,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Malaysia,MYS,198587.5635,171393.521,250680.678,256755.874,277979.415615578,263676.105986662,271818.836761596,279098.376755817,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mali,MLI,30794.145,70241.634,74744.398,86890.413,74104.2691956336,76827.8814527539,77134.1826164302,77437.931654233,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Malta,MLT,2605.29414,2553.04695,3227.64269,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mauritania,MRT,5976.906,11950.5596,13429.1196,11721.4539,11967.5831531667,12951.0065581117,13153.8609240339,13343.1626272099,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mauritius,MUS,1576.65897,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mexico,MEX,494151.02,576489.52,646318.66,644167.96,648860.079135921,643375.43361602,652861.29145972,663424.954361171,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Micronesia, Fed. Sts.",FSM,47.63686,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Moldova,MDA,38029.79932,10796.1408,12163.9801,11170.1713,11008.6907771068,11338.7077686998,11433.4868914836,11350.629999647,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mongolia,MNG,58042.678,51756.455,55403.599,46513.8,50237.0158902693,24860.3781081674,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Montenegro,MNE,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Morocco,MAR,37543.266,50974.378,73113.44,72650.847,72152.210619649,76087.3788481451,78381.399786628,80436.7152145251,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Mozambique,MOZ,40943.06776,215278.008,317678.2949,363780.5718,307176.207409471,379823.550388872,380073.237805556,380308.292508061,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Myanmar,MMR,875447.03,185137.09,349940.751,189004.373,266006.03229454,325367.139062547,526919.838488792,528416.217662507,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Namibia,NAM,7299.9503,33985.47,36561.0978,28595.4652,39971.703287644,37647.5718011523,37855.6522446755,38049.2707847565,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Nepal,NPL,25118.3339,31234.017,31263.61,32026.569,32809.2621925374,32738.69185878,33160.9713713475,40762.7152881677,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Netherlands,NLD,224468.089,220319.9,208848.042454,205061.312,201884.487178424,212418.45504564,200143.54444018,195873.763889571,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,New Caledonia,NCL,1633.16868,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,New Zealand,NZL,65689.817,74422.829,81888.391,81442.9,76062.1502053644,76141.6578305852,75851.1222399306,78130.9798816606,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Nicaragua,NIC,10263.4765,14043.287,15276.859,15791.953,15861.9682306353,15794.3498057937,16068.6412130905,16323.0434302921,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Niger,NER,6929.2769,11124.281,10970.2882,10491.4259,10530.9297519483,11219.5051135265,11342.1190258822,11460.9158280465,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Nigeria,NGA,163274.1763,314978.544,335201.39,316058.63,273156.363092577,292211.735427326,296799.948975518,301010.125866092,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Northern Mariana Islands,MNP,5.1160915,8.46553305,11.00040397,11.3841499,11.79593055,12.24371151,12.3661486251,12.4885857402,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Norway,NOR,67466.0999,71217.9,72404.46722,71002.7568,65840.6636900105,65710.0642142401,64181.1477579667,63536.7320746753,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Oman,OMN,35356.2927,35439.108,52515.093,55220.8011,55510.2056941071,59041.9795817376,60705.5913108149,62201.5508044815,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Pakistan,PAK,172551.2859,247348.795,336409.906,338551.92,343244.201743882,354528.622197099,362475.094356567,369734.583692698,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Panama,PAN,6814.4507,9158.7515,11689.1502,15082.5873,15489.5112672717,15428.76050942,15860.4557625829,16248.7722905672,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Papua New Guinea,PNG,29504.072,8257.4614,9773.2384,9516.4689,11298.7329775057,10667.5964883463,10888.0894662948,11087.4570564505,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Paraguay,PRY,63833.492,39439.471,138575.697,54092.028,46875.5965759124,50027.5030005582,50445.1164029722,50843.9542041131,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Peru,PER,59544.1966,66574.044,70911.513,63708.119,64753.407771013,71614.2940211242,73289.702901321,74806.9567445781,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Philippines,PHL,96355.436,150078.87,149106.274,152332.054,223801.402582966,159940.452828914,163797.78766544,167297.549725585,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Poland,POL,474016.0603,392642.0366,421174.6542,420981.528,405421.159762265,426485.868351622,422791.468168537,414606.89232929,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Portugal,PRT,58227.179,88594.191,79399.304,74433.765,75492.5034292383,71681.4684400366,71977.8870090626,72524.218510274,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Puerto Rico,PRI,2941.1635,2963.27411,3064.31024,3067.96985,3119.06938320473,3199.24568321129,3247.52000136847,3293.25487972272,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Qatar,QAT,21978.4828,44439.7,77135.76161,83149.36557,86227.8146737545,98391.5338465153,100891.323358578,103155.120721373,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Romania,ROU,247279.3403,132627.536,141043.059,136834.935,119648.2095,117930.698,126194.415552348,121762.225104696,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Russian Federation,RUS,3593581.92,2771222,2604102.33,2995286.6,2562920.977736,2603289.62983381,2777724.31014007,2803398.4879042,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Rwanda,RWA,3251.96376,4900.3316,4904.6175,5183.7427,5967.06192569087,6547.47491286008,6620.24670057814,6689.94889743344,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Samoa,WSM,287.10673,318.53193,326.9412,330.23679,330.708149791493,340.977682074287,348.882192362577,356.086960000804,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Sao Tome and Principe,STP,97.473043,206.896072,169.708684,175.963732,177.024126785466,185.451631790855,190.736300569879,195.486961272431,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Saudi Arabia,SAU,..,310713.5,419852.998,446765.124,471266.326647713,..,514967.262649612,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Senegal,SEN,11016.4282,48632.878,47429.886,51876.505,47324.755141409,53407.5710536081,53810.0458870121,54185.3718787515,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Serbia,SRB,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Seychelles,SYC,365.272339,..,786.5191,806.416085,805.942230706433,854.072184402449,883.831427003904,910.287358285027,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Sierra Leone,SLE,9628.770868,14763.8481,28565.22,33083.703,17509.103840073,11647.4905123863,11731.1661612871,11810.8870188195,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Singapore,SGP,..,..,49828.815,50059.9548,49828.2152938626,52731.9988239379,54413.5540095278,55910.2813044732,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Slovak Republic,SVK,72262.4462,50421.399,48141.598,49160.9889427,46722.85803,49973.282,48551.7499855841,46301.2739711681,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Slovenia,SVN,19978.0218,20927.0855,22932.5376,23252.2604,21453.1576,21893.6609,21513.476468893,21074.7483377861,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Solomon Islands,SLB,5903.502,4086.0635,4406.1073,4411.7304,4419.51705605364,4479.82999608379,4536.57738178344,4591.46452705258,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Somalia,SOM,17953.4060594,20491.617,21272.603,21450.946,21130.6211247516,21461.805455857,21690.2656830673,21916.3232231908,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,South Africa,ZAF,349202.002,420482.753,502130.255,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,South Sudan,SSD,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Spain,ESP,293343.061,381031.15,439904.168,404869.429,372822.515384651,354618.022613412,353857.386145107,348257.292233754,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Sri Lanka,LKA,18379.0014,23282.5721,27768.839,27954.9991,27826.5551277157,29131.2905203967,29822.7789910656,30451.8263103441,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,St. Lucia,LCA,278.116504,404.93516,512.25312,533.67247,534.355854746858,563.915882513968,582.33575435051,598.765917552075,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,St. Vincent and the Grenadines,VCT,140.6361373,222.544768,276.96653,284.790058,..,301.562853783709,310.883655689352,319.21808524325,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Sudan,SDN,92666.85,529253.88,634374.73,572341.41,559206.070707765,487562.733687685,489798.213265019,491982.266532203,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Suriname,SUR,10497.9035,2495.7631,2466.89566,3262.83885,3125.74816500608,..,2598.26121843145,2657.8776235695,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Swaziland,SWZ,2261.6269,2814.7361,3715.2655,3255.8421,3032.49166449197,3378.3390138447,3430.02474988828,3478.03453213704,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Sweden,SWE,77170.66264,77926.242,71293.1667,69993.2847,65034.0671220206,71434.7098130697,68780.3304510237,65767.7870645559,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Switzerland,CHE,56393.8008,53063.2151,54112.486,56634.8927,55245.9738703299,57154.1827287513,53066.8668627694,54108.0975149024,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Syrian Arab Republic,SYR,48602.089,68163.2714,73073.0659,70097.5424,69995.6579645358,73021.0350245709,75181.2622617497,77118.711861813,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Tajikistan,TJK,21668.05999,10059.39617585,14531.7933,14274.5997,14128.8782893332,14727.2055380711,15285.8198091057,15364.5752926943,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Tanzania,TZA,94958.046,215939.362,202224.85,201404.515,231456.25049325,234147.160880009,234762.029551845,235353.116917654,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Thailand,THA,208062.848,283870.041,388568.002,357708.275,363782.105446216,421227.830998173,431312.309909655,440411.679002401,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Timor-Leste,TLS,453.01726,615.325105,901.8808,912.7317,925.415296218775,940.459643325301,949.906839441293,959.347403614566,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Togo,TGO,13410.2559,22054.7083,19389.963,27174.075,23856.093170699,22578.1196825482,22760.6386155452,22931.8554918877,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Tonga,TON,124.449085,175.118306,153.466908,147.585116,147.552847755048,151.934445980651,155.290599558298,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Trinidad and Tobago,TTO,..,24111.8088,51308.1038,54553.4709,54882.3407344638,58068.7623984508,59776.5834191611,61308.5253484805,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Tunisia,TUN,21219.0337,30799.8283,33570.51959,35101.99196,35556.6116489669,37649.9734733698,38741.1352417547,39721.0088471343,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Turkey,TUR,224459.0446,316464.841,406298.253,399181.904,404636.723099019,422721.874159766,434798.461210204,445640.078387113,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Turkmenistan,TKM,81331.86526,63236.1554,86686.09,91468.9779,80016.1400189655,87379.668518004,88648.7177282147,92178.0749079615,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Turks and Caicos Islands,TCA,2.39359482,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Tuvalu,TUV,4.0320927,4.8968753,5.0529942,5.0625602,5.06820788774088,5.1096784152729,5.17598123419742,5.23991676902267,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Uganda,UGA,36900.522,72771.094,104200.612,89206.67,52830.3474079837,79906.210271338,80318.9682529937,80725.0849205519,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Ukraine,UKR,953118.7193,470107.957,444201.662,436817.125,367349.707769596,393092.05937722,410067.313082423,404900.30485731,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,United Arab Emirates,ARE,72498.5763,115420.5144,167986.4324,181388.5363,182422.169198051,193127.157628676,199342.522558574,204888.718962496,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,United Kingdom,GBR,777244.23,673897.408,646412.1481,635417.17264,584940.879687974,609586.560951622,568061.828941121,585779.783273432,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,United States,USA,6136093.5,6969123.8,7128951.7,6648991.2,6604068.9516624,6713348.96911148,6571653.97696764,6343840.50774614,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Uruguay,URY,26111.56991,30375.776,33889.416,34052.25,33509.6759700056,33285.1966327107,33773.770839407,34237.8295185601,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Uzbekistan,UZB,169357.5032,165976.901,173888.2978,183949.988,173966.218653096,172722.665726421,180734.945597965,177223.750994586,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Vanuatu,VUT,433.35203,462.64018,444.5052,448.64291,426.858698600237,433.765841618424,440.152732079289,446.220596935657,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Venezuela, RB",VEN,210102.629,251579.927,280143.816,271197.403,265790.10264781,268746.195077937,275683.763795513,281921.368594355,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Vietnam,VNM,99053.923,155791.92,256396.703,255549.534,266081.848157342,278994.359953824,285091.055716172,310664.069273385,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Virgin Islands (U.S.),VIR,45.298507,43.272328,51.748247,53.838381,56.6375496035154,60.2122077074707,60.8557130023383,61.4927757344388,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,West Bank and Gaza,PSE,..,..,..,..,..,..,..,..,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,"Yemen, Rep.",YEM,12850.0134,24225.1802,36225.625,36800.226,37027.203947787,38865.2924309914,39949.0821612584,40924.6276912645,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Zambia,ZMB,209648.820069,290812.3696,341005.669,321163.519,266118.483645849,319784.630374572,320024.69699237,320254.218335756,..,..,..,..
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,Zimbabwe,ZWE,35100.59,51434.535,60917.825,68840.706,67914.1310078185,71019.1167281256,71561.9522501464,72057.8033221346,..,..,..,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/27/2017,,,,,,,,,,,,,,,
